NAMA DOKTER,JUDUL,TULISAN,LINK
dr. Vina Liliana,Bagaimana mengobati diabetes?,"Diabetes adalah penyakit dimana kadar gula ditemukan berlebihan di dalam darah sehingga sering muncul keluhan mudah lapar, mudah haus, gatal-gatal, sering kencing, atau penurunan berat badan.
Untuk mengukur kadar gula darah bisa dilakukan pemeriksaan:
Gula darah sewaktu. Pemeriksaan gula acak yang bisa dilakukan sewaktu-waktu tanpa perlu puasa.
Gula darah puasa. Pemeriksaan yang dilakukan setelah Anda puasa selama 8 jam.
Gula darah 2 jam setelah makan.
HbA1C. Kadar gula yang ada di dalam sel darah merah, sehingga dapat mengetahui rata-rata kadar gula darah dalam 3 bulan terakhir sebelum pemeriksaan.
Jadi tidak ada istilah diabetes sewaktu. Mungkin yang Anda maksud adalah kadar gula darah Anda tinggi pada pemeriksaan gula darah sewaktu.
Perihal keluhan kepala kliyengan atau terasa ringan dan mau jatuh bisa saja menandakan kadar gula Anda terlalu rendah, karena pembatasan makanan yang sangat ketat.
Untuk mengontrol kadar gula Anda, Anda perlu makan dan minum obat secara teratur. Yang saat ini perlu Anda lakukan adalah cek kadar gula darah ulang terlebih bila Anda sedang menjalankan ibadah puasa dan tunjukkan hasilnya ke dokter sehingga bisa diberikan obat diabetes dengan dosis yang tepat atau cukup dengan mengatur pola makan saja.",https://www.sehatq.com/forum/diabetes-sewaktu-q13738
dr ester agustina,bagaimana penanganan diabetes?,"Diabetes merupakan salah satu penyakit 
dimana tubuh tidak dapat memproduksi insulin sehingga menyebabkan 
peningkatan kadar glukosa dalam tubuh. Ada dua tipe diabetes yaitu diabetes tipe 1 (akibat genetik dan muncul saat anak-anak) dan diabetes tipe 2
 (akibat gaya hidup dan muncul sejak dewasa). Gejala dari diabetes itu 
sendiri yaitu cepat haus dan lapar, sering buang air kecil terutama di 
malam hari, lemas, kesemutan, berat badan turun, pandangan kabur, mulut 
kering, dll. Untuk mendiagnosa 
penyakit ini, dilakukan pemeriksaan kadar HbA1C, gula darah sewaktu, 
gula darah puasa, dan tes toleransi glukosa oral. Jika sudah terdeteksi,
 maka penyakit ini hrs segera diobati. Pengobatannya berupa pemberian 
insulin lewat suntikan, obat-obatan anti diabetes seperti metformin, 
glimepirid, dll, melakukan aktivitas fisik, dan pola makan yang sehat. 
Jika tidak diobati, maka diabetes dapat menimbulkan komplikasi seperti 
gagal ginjal, ke saraf, pembuluh darah, mata, dan juga jantung. Untuk itu, sebaiknya Anda melakukan pengobatan yang rutin ke dokter spesialis penyakit dalam.
 Pengobatan tersebut bertujuan agar gula darah anda tetap stabil dan 
penyakit ginjal Anda tidak semakin parah. Tidak harus dirawat inap 
selagi kondisi badan Anda masih stabil. Lalu, ajak suami Anda untuk 
menemani Anda kontrol, sehingga suami Anda mendapat penjelasan juga dari
 dokter mengenai kondisi Anda dan berharap ke depannya suami Anda 
menjadi lebih pengertian kepada Anda. ",https://www.sehatq.com/forum/saraf-q11101
dr lidya hapsari,gejala khas diabetes,"nak yang memiliki orangtua diabetes, akan
 merasa takut terkena diabetes juga. Terutama jika memiliki faktor 
risiko lainnya seperti obesitas. Obesitas memang menjadi salah satu 
penyebab diabetes namun tidak semua pasien obesitas pasti terkena 
diabetes.Apakah anak obesitas dengan orangtua diabetes, akan mengalami diabetes juga ?Anda
 berumur 13 tahun dengan berat badan 63 kg. Ibu Anda memiliki riwayat 
penyakit pradiabetes. Selama ini Anda mengalami keputihan, kuku kuning 
dan gigi agak goyang. Tetapi tidak merasakan keluhan lemas, sering 
kencing dan sering haus.Mengenai 
pertanyaan Anda, apakah obesitas, keputihan, kuku kuning dan gigi 
goyang, gejala diabetes ? Obesitas merupakan salah satu penyebab 
diabetes ditambah dengan riwayat orangtua diabetes juga.Namun obesitas, keputihan, kuku kuning dan gigi goyang bukanlah gejala khas diabetes. Gejala khas diabetes berupa 4 P yaitu :Poliuri (rasa ingin terus berkemih).Polidipsi (rasa haus terus menerus).Polifagi (rasa ingin terus makan).Penurunan berat badan.Penyebab keputihan pada remaja putriKeputihan
 bisa disebabkan oleh gangguan hormonal, ransangan seksual, tanda 
ovulasi, infeksi. Sedangkan kuku kuning disebabkan oleh infeksi jamur, 
kurangnya asupan nutrisi, mineral dan vitamin. Gigi goyang karena 
benturan atau gigi keropos.Namun tidak ada salahnya Anda cek gula berkala di dokter penyakit dalam, turunkan berat badan dan jalani hidup sehat agar terhindar dari diabetes.",https://www.sehatq.com/forum/gejala-diabetes-q50473
dr vina liliana,bagaimana ciri diabetes,"Diabetes adalah penyakit di mana tubuh 
tidak bisa mengontrol kadar gula, yang seringkali terjadi akibat 
kerusakan hormon pankreas untuk memproduksi insulin.Diabetes ini memiliki beberapa klasifikasi yakni: Tipe 1 yang bawaan dari lahir.Tipe 2 yang biasanya terjadi saat dewasa akibat tidak menjaga pola makan dengan baik.Diabetes gestasional yang terjadi saat kehamilan.Beberapa
 gejala-gejala diabetes antara lain mudah lapar, sering haus, penurunan 
berat badan secara drastis, gatal-gatal di badan, adanya keputihan pada 
wanita, sering kencing, dll. Dan sayangnya gejala ini muncul bila 
diabetes sudah cukup parah. Sehingga sebaiknya bila ada faktor keturunan
 di dalam keluarga yang mengalami diabetes, ada baiknya melakukan check 
up rutin setiap setahun sekali untuk deteksi dini.Yang perlu dilakukan untuk mengontrol diabetes adalah:Mengatur pola makan, perbanyak asupan sayur dan buah agar tidak mudah lapar.Batasi atau hindari makanan gorengan atau berlemak.Banyak minum air putih.Tidur secara teratur, karena kondisi kelelahan, stres, atau adanya infeksi bisa meningkatkan kadar gula.Lakukan olahraga secara teratur untuk membakar kalori.Bila kadar gula tidak terlalu tinggi, maka dengan pengaturan pola makan,
 maka istri Anda tidak perlu minum obat. Namun bila dengan perubahan 
gaya hidup namun kadar gula masih tinggi, maka istri Anda perlu 
mengonsumsi obat diabetes secara rutin untuk mencegah terjadinya 
komplikasi di kemudian hari. Jangan lupa untuk kontrol kadar gula dan 
periksa ke dokter penyakit dalam secara teratur.",https://www.sehatq.com/forum/diabetes-q18595
dr ramadhan harya,Impoten dan Diabetes,"impoten adalah keadaan sulit mempertahankan atau memulai ereksi. Pada penderita diabetes,
 masalah impotensi dapat terjadi dikarenakan terjadinya gangguan suplai 
aliran darah dan saraf pada penis saat adanya stimulasi seksual, 
sehingga sulit untuk mendapatkan atau mempertahankan ereksi yang 
maksimal.Secara normal ketika 
adanya rangsangan seksual, tubuh akan mengeluarkan zat yaitu nitrit 
oksida yang dilepaskan ke aliran darah yang akan menyebabkan arteri dan 
otot pada penis untuk relaksasi sehingga aliran darah ke penis akan 
meningkat dan menimbulkan ereksi. Pada penderita diabetes yang gula 
darahnya tidak terkontrol secara baik, produksi nitrit oksida ini akan 
mengalami penurunan sehingga sulit untuk mendapat ereksi yang maksimal.Untuk
 menanggapi masalah RM, coba untuk mengontrol gula darah secara rutin 
untuk mendapatkan ereksi yang maksimal kembali, namun jika belum ada 
perubahan segera konsultasikan ke dokter secara langsung untuk dilakukan
 pemeriksaan dan pengobatan yang sesuai dengan penyebab gangguan ereksi 
tersebut.",https://www.sehatq.com/forum/impoten-dan-diabetes
dr lisza oktavianti,saya menderita diabetes,"Diabetes atau yang biasa dikenal dengan kencing manis adalah, penyakit metabolik yang menyebabkan kadar gula dalam darah berlebih atau hiperglikemik, karena kaitannya dengan insulin. Insulin adalah hormon yang diproduksi oleh pangkreas, yang berfungsi untuk memindahkan gula kedalam sel. Pada diabetes, pankreas kurang memproduksi insulin atau karena insulin menurun efektifitas kerjanya.
Metformin dan glimepirid adalah obat yang biasanya digunakan oleh penderita diabetes. Kedua obat tersebut berfungsi menurunkan kadar gula dalam darah. Penggunaan kedua obat tersebut didak dilarang digunakan secara bersamaan. Namun, penggunaannya harus dalam pengawasan dokter dan pemutusan untuk menggunakan atau menghentikan salah satu dari kedua obat tersebut harus dilakukan oleh dokter, melihat kondisi pada pasien, seperti kadar gula darah pasien. Menggunakan glimepirid dan metformin secara bersamaan tanpa pengawasan dari dokter akan mengakibatkan rendahnya kadar gula dalam darah, atau hipoglikemik. Pada keadaan kadar gula darah yang terlalu rendah, atau hipoglikemik akan menyebabkan pingsan hingga koma. Penghentian salah satu dari obat tersebut tanpa pengawasan dokter akan menyebabkan kadar gula dalam darah meningkat.
Tips menjaga kesehatan pada penderita diabetes :
Ada beberapa cara yang dapat dilakukan dirumah untuk menjaga kadar guda dalam darah dan menjaga kesehatan enderita diabetes, seperti :
Rutin berolahraga, seperti senam diabetes,
Membatasi asupan karbohidrat, seperti nasi, roti, jagung, dan bijak memilih gula pengganti,
Hindari cemilan yang dapat meningkatkan kadar gula darah, seperti biskuit, roti, dan cake,
Mengatur pola makan, seperti perbanyak makan sayur dan lauk ketika makan, karena sayur mengandung banyak serat, serat lama dicerna oleh tubuh, sehingga akan terasa kenyang lebih lama,
Rutin minum obat, pada penderita diabetes, harus seimbang natara makan dan minum obat, karena bila makan tanpa minum obat akan menyebabkan kadar gula darah tinggi, dan sebalikya bila minum obat tana makan akan menyebabkan kadar gula darah menjadi rendah,
Rutin cek kadar gula darah,
Rutin kontrol ke dokter.
Semoga membantu.",https://www.sehatq.com/forum/saya-menderita-diabetes-q45035
dr ghifari zuhda,"Bagaimana cara menggatasi Diabetes ?
","Tubuh manusia memerlukan energi untuk 
melakukan aktifitas,energi didapat dari makanan dan diolah menjadi zat 
Glukosa di dalam darah. Glukosa di dalam darah yang terlalu berlebihan 
kemudian diubah menjadi Glikogen oleh hormon insulin dan disimpan di 
dalam otot. Keadaan dimana kadar gula (glukosa) di dalam darah terlalu 
banyak atau melebihi batas dalam istilah medis disebut sebagai Diabetes Melitus.Diabetes
 Melitus dibagi menjadi Diabetes tipe 1 dan tipe 2. Diabetes tipe 1 
dikarenakan adanya kerusakan sel pankreas dalam menghasilkan insulin 
sehingga jumlah insulin dibawah normal. Diabetes tipe 2 disebabkan 
adanya menurunnya sensitifitas tubuh terhadap insulin sehingga insulin 
tidak bisa berfungsi optimal. Mayoritas yang terjadi adalah diabetes melitus tipe 2.Beberapa tips untuk mencegah dan mengurangi gula darah yang tinggi diantaranya :Kurangi konsumsi gula pasir atau produk olahan yang mengandung gula pasir yang mengandung kalori yang tinggi.Kurangi
 konsumsi nasi yang terlalu banyak, dimana kandungan karbohidrat yang 
terlalu tinggi nantinya bisa memicu kenaikan gula darah.Jagalah berat badan Anda. Berat badan berlebihan bisa memicu menurunya efektifitas insulin.Rutinlah melakukan cek gula darah minimal sekali setahun.Olahraga
 teratur, sebab olahraga mampu membantu proses metabolisme tubuh optimal
 dan membantu regulasi transformasi glukosa menjadi glikogen dan 
sebaliknya secara optimal.Konsumsi beberapa makanan yang bagus 
untuk membantu produksi insulin semisal Pare, bawang putih dan brokoli 
serta menghindari makanan junkfood dan yang mengandung lemak misal jeroan (paru, kikil dll). Berikut saya sertakan artikel Jalani pola hidup sehat untuk hidari Diabetes Ada
 baiknya Anda konsultasikan dengan dokter apabila Anda mempunyai 
pertanyaan lainya dan agar Anda bisa mengetahui kesehatan diri Anda 
lebih dini. Semoga bermanfaat.",https://www.sehatq.com/forum/bagaimana-cara-menggatasi-diabetes
dr putra anughra,Penyebab penyakit Diabetes Melitus,"Diabetes Melitus (DM) adalah suatu 
penyakit yang merupakan kumpulan dari beberapa gejala yang timbul pada 
seseorang yang disebabkan oleh karena adanya peningkatan kadar gula 
(glukosa) darah.Peningkatan 
glukosa dalam darah bisa terjadi oleh karena hormon insulin tidak 
berhasil membawa glukosa kita masuk ke dalam sel-sel tubuh. Maka dari 
itu, glukosa tetap berada dan menumpuk didalam aliran darah.Mengapa bisa terjadi demikian?Ada sebuah hormon yang bertanggung jawab terhadap transport glukosa dari dalam darah menuju sel-sel tubuh kita, yaitu Hormon Insulin.Diabetes Melitus (DM) secara umum terdiri dari 2 jenis, yaitu DM Tipe I dan DM Tipe II.Pada penderita Diabetes Melitus (DM) Tipe I,
 hormon Insuin tidak dapat diproduksi dari pabriknya yaitu kelenjar 
pankreas. Kerusakan pankreas pada DM Tipe I bersifat Idiopatik alias 
belum diketahui penyebabnya hingga saat ini. Tipe ini biasanya terjadi 
sejak usia kecil dan terjadi pada sebagian kecil kasus Diabetes Melitus 
secara keseluruhan.Pada penderita Diabetes Melitus (DM) Tipe II, kelenjar
 pankreas berfungsi normal dalam memproduksi hormon insulin. Namun yang 
menjadi adalah, kadar glukosa yang masuk kedalam tubuh terlampau banyak 
dan menahun sehingga membuat reseptor insulin yang ada pada dinding sel 
tubuh kita merasa ""kewalahan"" dalam menerima glukosa yang dibawa oleh 
hormon insulin. Hal ini menyebabkan terjadinya kondisi yang disebut Resistensi Insulin. Akhirnya glukosa tidak semuanya dapat masuk ke dalam sel dan tetap berada didalam peredaran darah.Karena
 sel-sel tubuh kita tidak berhasil mendapatkan glukosa yang dibutuhkan, 
maka munculah berbagai gejala khas dari penderita DM khususnya DM Tipe 
II yaitu Sering lapar (Polyphagia), sering haus (Polidypsia), dan sering kencing malam hari (Nocturnal Polyuria). Gejala khas ini dikenal dengan istilah 3PPerlu
 diketahui bahwa sebagian besar kasus DM adalah Diabetes Melitus Tipe 
II. Maka dari itu, penting bagi kita semua untuk menjaga pola makan 
terutama membatasi porsi makanan tinggi glukosa yang dikonsumsi setiap 
harinya seperti nasi putih, kue-kue manis, es teh manis, cokelat, 
minuman bersoda, dll agar terhindar dari penyakit Diabetes Melitus. 
Selain itu berolahraga secara rutin minimal 30 menit setiap harinya juga
 berguna untuk mencegah obesitas yang nantinya juga akan bermuara ke 
penyakit Diabetes Melitus dan penyakit-penyakit berbahaya lainnya.",https://www.sehatq.com/forum/penyebab-penyakit-diabetes-melitus
dr aisyah nur ramadhani,ciri ciri kulit diabates,"diabetes merupakan salah satu penyakit yang banyak
 di derita banyak orang. Pada diabetes biasanya mengalami gangguan pada 
produksi insulin sehingga pada penderita diabetes gula darahnya tinggi. 
Pada pasien diabetes haruslah konsumsi obat secara rutin, karena jika 
tidak akan menimbulkan komplikasi seperti gangguan mata (retinopatik 
diabetes), gangguan jantung, gangguan pada kulit, stroke, bahkan 
gangguan ginjal.Pada pasien 
diabetes yang sudah lama kulitnya akan cenderung kering. Hal ini 
disebabkan karena gangguan pada pembuluh darah yang ada di tepi kulit.Ciri-ciri kulit diabetes :Kulit tampak keras dan tebalKulit menguning seperti timbul bercak-bercak atau malah menghitamSering terjadi infeksi di kulitJika ada luka biasanya akan susah sembuhBeberapa cara untuk mengatasi kulit diabetes :Konsumsi makanan sehat, kurangi gula agar gula darahnya teraturKonsumsi air putih minimal 2-3 liter/hariJaga kebersihan lukaHindari mandi dengan air hangatJika ada luka sebaiknya di rawat dengan segeraGunakan pelembab kulit seperti lotionRutin olahraga ringanTerapkan pola hidup sehat, hindari rokok dan alkoholJika kulit kering akibat diabetes tidak kunjung membaik, sebaiknya periksakan lebih lanjut ke dokter kulit kelamin untuk dilakukan pemeriksaan lebih lanjut. Anda juga bisa berkonsultasi secara online chat ke dokter kulit kelamin.",https://www.sehatq.com/forum/ciri-ciri-kulit-diabetes-q44519
tim dokter sehat,Diabetes: apa saja gejalanya?,"Diabetes Melitus adalah suatu kelompok penyakit metabolik yang ditandai dengan kondisi Hiperglikemia (meningkatnya kadar gula dalam darah) secara kronis. Hal ini akibat efek dari :
Kerja insulin di hati yang menyebabkan peningkatan produksi gula darah di hati, otot dan lemak.
Produksi dan Pelepasan  insulin di Pankreas
Kondisi pada 1 dan 2
Diabetes Melitus (DM) dibagi dalam 2 tipe yaitu :
Diabetes Melitus (DM) Tipe 1
Diabetes Melitus (DM) Tipe 2
Saat ini di kota-kota besar akibat gaya hidup yang tidak memperhatikan pola makan yang sehat, maka Diabetes Melitus (DM) Tipe 2 banyak ditemukan pada masyarakat.
Gejala dan Keluhan khas pada Penderita DM adalah :
Poliuria (Volume Kencing banyak)
Polidipsia (Perasaan haus yang berlebihan)
Polifagia (Perasaan lapar yang berlebihan)
Penurunan Berat Badan yang tidak diketahui Penyebabnya.
Sedangkan keluhan yang tidak khas pada Penderita DM adalah ;
Lemah
Kesemutan
Gatal
Mata kabur
Disfungsi ereksi pada Pria
Gatal sekitar kemaluan pada Wanita
Berikut adalah kondisi yang merupakan Faktor Resiko untuk DM Tipe 2 yaitu :
Usia lebih dari 45 tahun. Saat ini banyak ditemukan pada usia yang lebih muda.
Berat Badan Ideal > 110% atau IMT > 23Kg/m2
Hipertensi
Memiliki Riwayat keturunan DM
Untuk Wanita : memiliki riwayat abortus berulang, melahirkan bayi cacat, atau BB Bayi besar > 4000gr
Penderita Penyakit Jantung Koroner, TBC, Hipertiroid.
Kadar Kolesterol HDL < 35mg/dL dan atau Kolesterol Trigliserida > 250 mg/dL.
Yang dimaksudkan dengan Faktor Resiko adalah Faktor yang menyebabkan seseorang lebih besar memiliki kemungkinan menderita suatu penyakit. Makin banyak Faktor Resiko pada orang tsb, makin tinggi resiko untuk terkena suatu Penyakit.
Namun untuk pemeriksaan lebih lanjut dan Konsultasi, selalu kami sarankan untuk mengunjungi Dokter Spesialis Penyakit Dalam terdekat di Kota Bapak.",https://www.sehatq.com/forum/diabetes-apa-saja-gejalanya
